name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Benat Prados,goals,1229176,0.0,1.0,0.05,0.07,6.84,es ESP,MF,Athletic Club,1997.0,La Liga
Viti,goals,753724,2.0,0.0,0.0,0.06,6.84,es ESP,DF,Las Palmas,1997.0,La Liga
Dario Essugo,goals,1239595,0.0,1.0,0.03,0.03,6.84,pt POR,MF,Las Palmas,2005.0,La Liga
Carlos Romero,goals,1395964,1.0,2.0,0.07,0.08,6.84,es ESP,DF,Espanyol,2001.0,La Liga
Jesus Areso,goals,1037537,3.0,0.0,0.0,0.07,6.83,es ESP,DF,Osasuna,1997.0,La Liga
Marash Kumbulla,goals,872362,0.0,3.0,0.06,0.01,6.83,al ALB,DF,Espanyol,2000.0,La Liga
Romain Perraud,goals,815465,2.0,2.0,0.02,0.06,6.83,fr FRA,DF,Betis,1997.0,La Liga
José Giménez,goals,474589,1.0,0.0,0.02,0.01,6.83,uy URY,DF,Atlético Madrid,1995.0,La Liga
Pepelu,goals,673689,2.0,2.0,0.11,0.14,6.83,es ESP,MF,Valencia,1999.0,La Liga
Javier Munoz,goals,616531,3.0,1.0,0.04,0.08,6.83,es ESP,MF,Las Palmas,1995.0,La Liga
Robert Navarro,goals,1011117,0.0,1.0,0.14,0.1,6.82,es ESP,MF,Mallorca ,2000.0,La Liga
Juan Cruz,goals,940608,3.0,4.0,0.07,0.14,6.82,es ESP,FW,Leganés,2000.0,La Liga
Seydouba Cisse,goals,1287783,0.0,3.0,0.08,0.02,6.82,ml MLI,MF,Leganés,1997.0,La Liga
Aitor Paredes,goals,1191407,0.0,3.0,0.12,0.01,6.82,es ESP,DF,Athletic Club,2000.0,La Liga
Jesus Rodriguez,goals,1624039,0.0,2.0,0.2,0.06,6.82,es ESP,MF,Betis,1998.0,La Liga
Logan Costa,goals,922877,0.0,2.0,0.03,0.02,6.82,cv CPV,DF,Villarreal,2001.0,La Liga
Adrià Pedrosa,goals,927646,1.0,1.0,0.03,0.06,6.81,es ESP,DF,Sevilla,1998.0,La Liga
Sergio Carreira,goals,1106742,4.0,0.0,0.03,0.14,6.81,es ESP,MF,Celta Vigo,2000.0,La Liga
Fermin Lopez,goals,1404415,4.0,4.0,0.42,0.32,6.81,es ESP,MF,Barcelona,2000.0,La Liga
Carl Starfelt,goals,497662,0.0,1.0,0.02,0.01,6.81,se SWE,DF,Celta Vigo,1995.0,La Liga
Alex Remiro,goals,616539,0.0,0.0,0.0,0.0,6.8,es ESP,GK,Real Sociedad,1995.0,La Liga
José Campana,goals,213502,3.0,0.0,0.01,0.08,6.8,es ESP,MF,Levante,1994.0,La Liga
Javier Guerra,goals,1284429,3.0,3.0,0.08,0.12,6.8,es ESP,MF,Valencia,2003.0,La Liga
César Tárrega,goals,1311985,0.0,2.0,0.06,0.01,6.8,es ESP,DF,Valencia,2002.0,La Liga
Pedro Diaz,goals,715069,0.0,3.0,0.17,0.15,6.8,es ESP,MF,Rayo Vallecano,1999.0,La Liga
Abdelkabir Abqar,goals,956921,1.0,0.0,0.03,0.01,6.8,ma MAR,DF,Alavés,2000.0,La Liga
Viktor Tsygankov,goals,678901,8.3,9.0,0.35,0.3,7.8,ua UKR,FW,Girona,1997.0,La Liga
José Copete,goals,896402,0.0,0.0,0.03,0.01,6.8,es ESP,DF,Mallorca,1998.0,La Liga
Nemanja Gudelj,goals,178753,1.0,1.0,0.06,0.04,6.79,rs SRB,MF,Sevilla,1991.0,La Liga
Kike Garcia,goals,183353,0.0,12.0,0.33,0.06,6.79,es ESP,FW,Alavés,1994.0,La Liga
Yaser Asprilla,goals,1277380,0.0,3.0,0.13,0.23,6.79,co COL,FW,Girona,2003.0,La Liga
André Almeida,goals,777028,3.0,0.0,0.06,0.23,6.79,pt POR,MF,Celta,1995.0,La Liga
Pablo Durán,goals,1322858,4.0,4.0,0.23,0.07,6.78,es ESP,FW,Celta Vigo,2001.0,La Liga
Flavien Boyomo,goals,1187734,0.0,2.0,0.04,0.02,6.78,cm CMR,DF,Osasuna,1997.0,La Liga
Chidera Ejuke,goals,837270,1.0,2.0,0.1,0.11,6.78,ng NGA,FW,Sevilla,1998.0,La Liga
Jon Moncayola,goals,921825,0.0,0.0,0.07,0.2,6.78,es ESP,MF,Osasuna,1998.0,La Liga
Abel Bretones,goals,1323398,0.0,2.0,0.02,0.06,6.77,es ESP,DF,Osasuna,1998.0,La Liga
Orjan Haskjold Nyland,goals,73409,0.0,0.0,0.0,0.0,6.77,no NOR,GK,Sevilla,1995.0,La Liga
Alex Kral,goals,836797,1.0,0.0,0.05,0.05,6.76,cz CZE,MF,Espanyol,1998.0,La Liga
Javi Rodriguez,goals,1435439,2.0,3.0,0.09,0.04,6.75,es ESP,DF,Celta Vigo,1999.0,La Liga
